chromosome name,count
phiX174,26369843
WPRE,208947
ERCC-00170,140
ERCC-00164,16
ERCC-00163,106
ERCC-00160,72
ERCC-00158,13
ERCC-00157,31
ERCC-00156,0
ERCC-00148,125
ERCC-00145,3514
ERCC-00144,139
ERCC-00142,4
ERCC-00138,0
ERCC-00137,0
ERCC-00130,235095
ERCC-00126,160
ERCC-00123,8
ERCC-00117,0
ERCC-00113,23096
ERCC-00112,675
ERCC-00111,8087
ERCC-00109,0
ERCC-00108,8221
ERCC-00099,342
ERCC-00097,13
ERCC-00083,0
ERCC-00081,0
ERCC-00079,688
ERCC-00076,2541
ERCC-00073,8
ERCC-00071,331
ERCC-00069,19
ERCC-00067,13
ERCC-00084,195
ERCC-00061,0
ERCC-00060,9785
ERCC-00059,113
ERCC-00058,3
GL456210.1,69
ERCC-00028,16
ERCC-00150,35
GL456212.1,95
ERCC-00134,6
19,993913
JH584304.1,4605
GL456372.1,75
JH584303.1,0
JH584294.1,7
13,1099696
ERCC-00171,30445
ERCC-00096,148736
ERCC-00033,29
GL456354.1,5
GL456221.1,319
ERCC-00077,66
GL456394.1,1
ERCC-00017,0
ERCC-00143,24
JH584292.1,0
JH584299.1,20
4,1308656
GL456367.1,21
GL456211.1,208
ERCC-00051,534
GL456219.1,20
ERCC-00098,3
X,1001256
JH584293.1,6
ERCC-00162,1824
MT,605876
GL456383.1,116
ERCC-00092,1984
GL456366.1,40
GL456379.1,54
14,840458
ERCC-00116,652
GL456350.1,26
5,1825041
GL456216.1,3336
16,888101
ERCC-00168,1
JH584300.1,0
10,1158188
GL456396.1,562
ERCC-00054,164
JH584301.1,1
JH584298.1,1
GL456393.1,62
ERCC-00147,44
ERCC-00016,0
15,923191
ERCC-00078,382
GL456392.1,263
3,1646500
ERCC-00002,103192
17,3721585
12,881680
ERCC-00025,296
ERCC-00019,188
2,2003783
ERCC-00039,21
JH584297.1,39
JH584302.1,1
7,2527325
ERCC-00131,653
8,1034559
ERCC-00154,109
11,2705687
ERCC-00053,703
JH584296.1,20
ERCC-00075,0
9,1385995
GL456233.1,2151
Y,2874
ERCC-00046,64039
GL456239.1,3
ERCC-00104,1
GL456213.1,2
ERCC-00062,2364
GL456385.1,4
ERCC-00003,14333
ERCC-00086,0
GL456360.1,2
ERCC-00120,5
ERCC-00014,16
GL456378.1,86
GL456389.1,188
JH584295.1,3
ERCC-00095,3312
ERCC-00085,86
6,2771441
GL456381.1,0
ERCC-00022,1588
ERCC-00057,0
GL456387.1,6
GL456382.1,172
GL456390.1,372
ERCC-00165,426
GL456359.1,18
ERCC-00004,130725
ERCC-00009,7967
ERCC-00042,9178
ERCC-00024,0
GL456368.1,24
ERCC-00012,0
ERCC-00013,13
ERCC-00031,47
GL456370.1,1178
ERCC-00048,0
ERCC-00034,103
ERCC-00035,612
1,1553286
ERCC-00040,0
ERCC-00041,8
ERCC-00074,264414
ERCC-00043,8558
ERCC-00136,7734
18,650621
ERCC-00044,648
